Gene,Selection frequency (/60),Frequency,In reported 75-gene panel
TCF21,60,1.000,yes
TRPS1,59,0.983,yes
HNF1B,58,0.967,yes
SFTPB,57,0.950,yes
SFTA3,56,0.933,yes
LMX1B,54,0.900,yes
C20ORF56,52,0.867,yes
FOXF1,52,0.867,yes
GATA3,51,0.850,yes
SFTPA1,51,0.850,yes
TFAP2A,49,0.817,yes
HKDC1,49,0.817,yes
SFTPA2,49,0.817,yes
PRLR,48,0.800,yes
MCTP2,47,0.783,yes
NKX2-1,46,0.767,yes
SLC45A3,46,0.767,yes
SCGB2A2,45,0.750,yes
EFHD1,45,0.750,yes
FZD5,45,0.750,yes
KLK3,45,0.750,yes
IHH,43,0.717,yes
C8ORF85,43,0.717,yes
C9ORF167,43,0.717,yes
EN1,42,0.700,yes
SHH,42,0.700,yes
SCTR,42,0.700,yes
KLK2,42,0.700,yes
SFTA2,40,0.667,yes
PAX8,39,0.650,yes
NKX3-1,38,0.633,yes
HOXB13,38,0.633,yes
ACPP,35,0.583,yes
OVOL2,33,0.550,yes
SCGB3A2,33,0.550,yes
TMEFF2,33,0.550,yes
HSD17B11,32,0.533,yes
CDH16,32,0.533,yes
EMX2OS,31,0.517,yes
ACSM3,31,0.517,yes
BEND4,30,0.500,yes
GALNT12,30,0.500,yes
SLC6A13,28,0.467,yes
STEAP2,28,0.467,yes
RDH11,24,0.400,yes
SLC3A1,24,0.400,yes
SLC28A1,24,0.400,yes
HHLA2,22,0.367,yes
C17ORF93,22,0.367,yes
PRAC,21,0.350,yes
C15ORF21,19,0.317,yes
ACSM2B,19,0.317,yes
CAPN5,17,0.283,yes
SLC17A3,16,0.267,yes
ADIPOQ,14,0.233,yes
PAGE4,14,0.233,yes
SLC22A2,14,0.233,yes
SFTPD,14,0.233,yes
ALDH1A3,13,0.217,yes
FOLH1,13,0.217,yes
DMGDH,13,0.217,yes
IGSF9,13,0.217,yes
TMEM140,10,0.167,yes
MET,9,0.150,yes
AGXT2,8,0.133,yes
PAX2,8,0.133,yes
KLK15,7,0.117,yes
DHDPSL,5,0.083,yes
